Sex,Length,Diameter,Height,Whole.weight,Shucked.weight,Viscera.weight,Shell.weight,Rings
M,0.45,0.335,0.11,0.4115,0.199,0.093,0.103,1-8
I,0.465,0.37,0.115,0.5055,0.234,0.1055,0.139,1-8
F,0.385,0.305,0.095,0.335,0.173,0.053,0.0855,10
F,0.58,0.44,0.175,0.9075,0.4015,0.1935,0.29,9
F,0.46,0.375,0.12,0.484,0.1955,0.1035,0.145,9
I,0.575,0.445,0.165,0.867,0.3575,0.2075,0.24,1-8
I,0.465,0.375,0.1,0.494,0.2165,0.1225,0.155,1-8
I,0.455,0.325,0.135,0.478,0.1785,0.1185,0.155,11+
M,0.57,0.435,0.13,1.0615,0.348,0.167,0.355,11+
M,0.345,0.27,0.095,0.1775,0.0595,0.042,0.06,9
F,0.545,0.42,0.17,0.754,0.2735,0.179,0.275,11+
I,0.295,0.215,0.075,0.129,0.059,0.0315,0.033,1-8
M,0.63,0.485,0.155,1.15,0.5935,0.2595,0.277,1-8
F,0.655,0.455,0.2,1.4935,0.7365,0.3025,0.341,11+
F,0.595,0.465,0.145,0.942,0.4275,0.196,0.27,1-8
F,0.705,0.545,0.13,1.187,0.6395,0.241,0.292,9
M,0.645,0.495,0.185,1.793,0.643,0.3025,0.815,11+
M,0.58,0.46,0.15,0.9065,0.4095,0.172,0.245,10
F,0.61,0.48,0.17,1.024,0.4835,0.2195,0.278,10
F,0.525,0.41,0.15,0.727,0.325,0.1775,0.185,1-8
M,0.525,0.425,0.19,0.883,0.3545,0.207,0.2825,9
M,0.61,0.48,0.14,1.0285,0.4085,0.2705,0.295,11+
I,0.515,0.395,0.155,0.7125,0.3225,0.1505,0.185,1-8
F,0.615,0.495,0.16,1.054,0.4795,0.24,0.306,10
I,0.515,0.4,0.145,0.745,0.2865,0.157,0.235,11+
F,0.815,0.57,0.225,1.6195,0.6175,0.3705,0.545,11+
F,0.635,0.505,0.145,1.1565,0.5115,0.2615,0.335,10
M,0.49,0.355,0.14,0.5725,0.225,0.1465,0.19,11+
F,0.455,0.355,0.13,0.4435,0.152,0.1165,0.14,11+
F,0.555,0.43,0.16,0.985,0.2885,0.2315,0.335,11+
I,0.59,0.44,0.145,1.022,0.5265,0.2205,0.2745,10
M,0.385,0.3,0.105,0.3315,0.1455,0.064,0.1,9
I,0.35,0.26,0.09,0.1765,0.0785,0.0355,0.065,1-8
M,0.51,0.415,0.14,0.6935,0.259,0.1575,0.25,11+
M,0.745,0.575,0.205,2.201,1.007,0.5265,0.512,11+
I,0.305,0.225,0.05,0.144,0.057,0.0305,0.0355,1-8
M,0.535,0.41,0.14,0.862,0.4515,0.1405,0.2,9
I,0.365,0.27,0.085,0.197,0.073,0.0465,0.063,1-8
M,0.62,0.49,0.155,1.2405,0.507,0.308,0.372,11+
M,0.575,0.425,0.1,0.667,0.2385,0.1635,0.208,11+
F,0.65,0.495,0.175,1.1905,0.483,0.278,0.38,11+
M,0.515,0.405,0.14,0.7085,0.334,0.1595,0.2075,11+
M,0.495,0.4,0.13,0.6645,0.3035,0.145,0.17,1-8
M,0.53,0.41,0.125,0.872,0.4515,0.1915,0.202,1-8
I,0.43,0.315,0.095,0.449,0.2335,0.0825,0.11,1-8
M,0.155,0.13,0.055,0.029,0.01,0.0065,0.0125,1-8
I,0.45,0.34,0.12,0.4165,0.209,0.085,0.103,1-8
M,0.595,0.46,0.135,1.113,0.455,0.2945,0.347,10
F,0.445,0.335,0.14,0.4565,0.1675,0.114,0.15,11+
I,0.455,0.36,0.11,0.436,0.2085,0.108,0.12,11+
F,0.615,0.5,0.175,1.131,0.57,0.256,0.274,9
I,0.52,0.41,0.11,0.4265,0.167,0.0865,0.135,1-8
F,0.54,0.42,0.135,0.8655,0.3075,0.221,0.2645,11+
I,0.455,0.35,0.12,0.468,0.2125,0.1125,0.145,1-8
M,0.735,0.58,0.205,2.032,0.9925,0.5145,0.601,11+
F,0.565,0.445,0.14,0.7805,0.318,0.181,0.224,10
F,0.585,0.455,0.12,0.9865,0.439,0.2545,0.265,10
F,0.4,0.31,0.115,0.3465,0.12,0.1055,0.105,11+
I,0.2,0.155,0.06,0.0435,0.017,0.0125,0.015,1-8
I,0.52,0.395,0.135,0.607,0.261,0.141,0.175,1-8
I,0.43,0.34,0.1,0.3405,0.136,0.065,0.115,1-8
I,0.545,0.43,0.17,0.8935,0.3725,0.151,0.2875,10
F,0.67,0.52,0.185,1.37,0.519,0.2815,0.57,11+
I,0.275,0.2,0.065,0.106,0.039,0.03,0.03,1-8
I,0.405,0.31,0.065,0.3205,0.153,0.075,0.09,1-8
M,0.525,0.425,0.19,0.973,0.325,0.2815,0.315,11+
F,0.6,0.46,0.14,1.113,0.5585,0.2465,0.2845,10
I,0.315,0.235,0.09,0.1435,0.063,0.046,0.045,1-8
M,0.585,0.465,0.19,0.8265,0.3465,0.1735,0.255,9
M,0.64,0.495,0.195,1.3035,0.5135,0.295,0.41,11+
F,0.67,0.52,0.19,1.541,0.616,0.4105,0.3725,10
I,0.53,0.4,0.14,0.636,0.2945,0.1295,0.17,1-8
F,0.49,0.37,0.115,0.6145,0.312,0.1295,0.16,9
F,0.48,0.37,0.13,0.6315,0.215,0.1335,0.225,11+
I,0.415,0.315,0.095,0.34,0.155,0.0695,0.088,1-8
M,0.585,0.46,0.15,0.98,0.4505,0.2145,0.2875,9
M,0.72,0.565,0.2,2.081,0.9655,0.4255,0.48,11+
M,0.53,0.41,0.14,0.7085,0.2955,0.153,0.225,10
M,0.41,0.315,0.105,0.3435,0.1405,0.085,0.11,10
F,0.525,0.405,0.14,0.7545,0.325,0.173,0.215,10
M,0.535,0.42,0.135,0.738,0.285,0.1395,0.24,1-8
I,0.13,0.115,0.05,0.013,0.0055,0.003,0.006,1-8
F,0.5,0.385,0.14,0.516,0.2425,0.1165,0.141,1-8
M,0.485,0.365,0.155,0.8795,0.394,0.208,0.215,11+
M,0.59,0.45,0.16,0.997,0.445,0.2345,0.289,1-8
M,0.51,0.4,0.14,0.622,0.278,0.142,0.1495,1-8
F,0.655,0.5,0.185,1.4155,0.493,0.3035,0.52,11+
M,0.715,0.565,0.195,2.0885,1.017,0.363,0.5015,11+
F,0.665,0.54,0.195,1.7025,0.8365,0.383,0.4755,11+
M,0.655,0.53,0.17,1.431,0.622,0.233,0.505,11+
M,0.7,0.53,0.21,1.583,0.7355,0.345,0.405,1-8
F,0.45,0.345,0.12,0.4925,0.2745,0.1075,0.15,1-8
M,0.565,0.445,0.14,0.9,0.3925,0.2325,0.239,9
I,0.55,0.45,0.175,0.702,0.299,0.1625,0.205,1-8
F,0.455,0.355,0.13,0.4725,0.2055,0.1015,0.155,10
I,0.59,0.475,0.155,1.207,0.492,0.32,0.299,11+
I,0.245,0.195,0.06,0.071,0.0285,0.016,0.0245,1-8
I,0.44,0.34,0.1,0.402,0.169,0.0825,0.1195,1-8
M,0.385,0.305,0.115,0.3435,0.12,0.0685,0.09,11+
I,0.625,0.475,0.155,1.0845,0.539,0.19,0.2575,1-8
M,0.555,0.42,0.17,0.8465,0.4625,0.159,0.231,10
M,0.6,0.475,0.16,1.0075,0.491,0.197,0.29,11+
F,0.605,0.46,0.145,0.852,0.334,0.1985,0.291,10
F,0.45,0.36,0.11,0.447,0.192,0.1035,0.1195,9
F,0.64,0.495,0.17,1.5175,0.809,0.3125,0.4,10
I,0.585,0.47,0.15,1.053,0.4655,0.1975,0.345,11+
I,0.34,0.25,0.09,0.1745,0.076,0.0365,0.06,1-8
F,0.505,0.39,0.16,0.66,0.158,0.2025,0.205,11+
F,0.515,0.435,0.16,0.8155,0.3155,0.156,0.28,11+
F,0.565,0.45,0.175,1.106,0.5125,0.2595,0.285,10
I,0.44,0.35,0.095,0.3615,0.126,0.0905,0.125,11+
F,0.595,0.475,0.165,1.0835,0.3745,0.2655,0.317,11+
M,0.66,0.505,0.19,1.6465,0.926,0.3395,0.371,11+
M,0.7,0.55,0.22,2.165,0.735,0.4865,0.6585,11+
F,0.61,0.47,0.165,1.052,0.435,0.192,0.305,10
I,0.55,0.44,0.165,0.804,0.3475,0.1465,0.244,11+
F,0.46,0.35,0.115,0.486,0.2205,0.096,0.132,9
I,0.46,0.34,0.11,0.449,0.221,0.107,0.1025,1-8
I,0.535,0.43,0.14,0.742,0.3305,0.158,0.225,9
M,0.59,0.455,0.155,0.906,0.326,0.1625,0.335,11+
I,0.45,0.33,0.115,0.447,0.193,0.0925,0.1335,1-8
F,0.58,0.45,0.125,0.865,0.3475,0.1775,0.269,11+
F,0.75,0.565,0.225,2.1275,0.8175,0.482,0.471,11+
I,0.625,0.505,0.215,1.521,0.5105,0.3075,0.555,11+
M,0.535,0.405,0.13,0.891,0.28,0.239,0.255,11+
F,0.675,0.525,0.19,1.3665,0.634,0.3375,0.3735,1-8
I,0.42,0.32,0.1,0.262,0.1145,0.053,0.066,1-8
F,0.72,0.565,0.165,1.613,0.682,0.3595,0.46,11+
I,0.435,0.335,0.11,0.411,0.222,0.0935,0.1035,1-8
M,0.72,0.55,0.205,1.5515,0.7105,0.4265,0.5085,11+
M,0.64,0.53,0.175,1.4585,0.605,0.27,0.49,11+
F,0.645,0.52,0.17,1.431,0.586,0.3515,0.354,11+
M,0.7,0.575,0.175,1.7365,0.871,0.3615,0.5,11+
M,0.6,0.46,0.16,0.6655,0.2655,0.149,0.38,11+
F,0.645,0.505,0.165,1.357,0.5725,0.3125,0.3885,11+
M,0.56,0.45,0.155,0.887,0.348,0.2045,0.2575,11+
I,0.52,0.405,0.13,0.6445,0.3265,0.1325,0.171,1-8
F,0.65,0.51,0.19,1.464,0.6295,0.3865,0.43,9
I,0.335,0.255,0.08,0.1735,0.076,0.0255,0.054,1-8
F,0.455,0.36,0.125,0.5265,0.2205,0.1375,0.1465,10
M,0.57,0.45,0.145,0.9355,0.425,0.222,0.248,9
I,0.455,0.35,0.135,0.5365,0.2725,0.087,0.1325,1-8
F,0.6,0.465,0.15,1.0475,0.4655,0.231,0.27,11+
M,0.445,0.37,0.135,0.516,0.2265,0.1275,0.139,10
I,0.51,0.4,0.125,0.6795,0.336,0.1325,0.1345,1-8
M,0.745,0.585,0.215,2.032,0.751,0.526,0.6585,11+
I,0.485,0.415,0.16,0.699,0.3225,0.1105,0.195,10
F,0.625,0.48,0.16,1.2615,0.5505,0.27,0.355,10
M,0.55,0.425,0.13,0.8695,0.393,0.219,0.1985,1-8
I,0.395,0.315,0.1,0.2845,0.123,0.058,0.09,1-8
M,0.71,0.57,0.19,1.5345,0.744,0.3525,0.43,10
F,0.345,0.255,0.095,0.203,0.0775,0.0535,0.06,9
I,0.42,0.32,0.115,0.309,0.131,0.0625,0.0995,1-8
F,0.66,0.5,0.22,1.406,0.496,0.2775,0.52,11+
I,0.44,0.35,0.12,0.438,0.19,0.0745,0.13,11+
I,0.2,0.145,0.04,0.046,0.02,0.007,0.011,1-8
F,0.565,0.45,0.175,1.2365,0.5305,0.2535,0.33,1-8
F,0.68,0.55,0.175,1.4465,0.6435,0.308,0.435,11+
F,0.655,0.505,0.165,1.4325,0.694,0.304,0.178,1-8
I,0.325,0.225,0.08,0.0995,0.036,0.0225,0.035,1-8
M,0.56,0.44,0.155,0.8755,0.4285,0.2035,0.185,9
I,0.38,0.285,0.09,0.248,0.1155,0.0535,0.0745,1-8
M,0.575,0.46,0.165,0.9765,0.4525,0.23,0.24,10
M,0.655,0.52,0.155,1.3575,0.553,0.3045,0.396,10
I,0.475,0.35,0.105,0.487,0.218,0.09,0.1335,1-8
M,0.525,0.395,0.165,1.205,0.513,0.2055,0.361,9
F,0.63,0.505,0.175,1.273,0.5805,0.318,0.345,11+
M,0.565,0.44,0.115,0.784,0.416,0.159,0.2265,1-8
M,0.75,0.55,0.215,1.51,0.5095,0.379,0.431,10
I,0.315,0.235,0.07,0.12,0.0535,0.0235,0.0315,1-8
F,0.56,0.42,0.135,0.939,0.4475,0.213,0.2505,1-8
F,0.565,0.44,0.155,0.8975,0.3605,0.2095,0.275,10
I,0.475,0.365,0.115,0.5885,0.255,0.126,0.1645,1-8
M,0.64,0.505,0.165,1.3555,0.5805,0.3515,0.409,11+
M,0.62,0.46,0.14,1.1605,0.572,0.2145,0.323,10
M,0.455,0.34,0.105,0.4955,0.2375,0.082,0.129,1-8
I,0.275,0.205,0.075,0.118,0.047,0.029,0.0315,1-8
M,0.715,0.525,0.18,1.825,0.95,0.2975,0.44,10
I,0.425,0.315,0.09,0.3675,0.1765,0.0675,0.1135,1-8
I,0.41,0.32,0.1,0.262,0.1145,0.051,0.08,1-8
M,0.485,0.365,0.13,0.5945,0.2475,0.126,0.169,9
M,0.65,0.525,0.19,1.8085,0.8005,0.3645,0.4305,11+
I,0.55,0.425,0.155,0.6315,0.2905,0.1205,0.225,10
I,0.47,0.345,0.13,0.44,0.1975,0.0875,0.125,1-8
F,0.655,0.545,0.23,1.4415,0.5095,0.2775,0.415,11+
I,0.555,0.455,0.145,0.804,0.3395,0.1715,0.22,1-8
M,0.62,0.47,0.15,1.2,0.5205,0.2575,0.4,11+
M,0.33,0.255,0.09,0.213,0.0615,0.059,0.075,10
M,0.655,0.515,0.165,1.403,0.6355,0.32,0.42,11+
F,0.56,0.455,0.125,1.165,0.533,0.2255,0.305,11+
F,0.485,0.365,0.145,0.5415,0.205,0.1175,0.145,11+
M,0.53,0.425,0.125,0.7455,0.3305,0.1975,0.1775,1-8
F,0.535,0.41,0.125,0.7145,0.3105,0.1315,0.24,11+
F,0.51,0.375,0.11,0.5805,0.266,0.1235,0.17,10
F,0.555,0.425,0.125,0.8515,0.4315,0.18,0.1815,10
F,0.29,0.23,0.085,0.14,0.061,0.0365,0.04,1-8
M,0.58,0.47,0.185,0.985,0.399,0.2175,0.37,10
M,0.39,0.305,0.105,0.3435,0.1645,0.0565,0.09,9
M,0.6,0.495,0.165,1.0835,0.4715,0.22,0.306,11+
M,0.535,0.41,0.12,0.625,0.2655,0.158,0.1875,11+
F,0.655,0.505,0.18,1.375,0.508,0.348,0.45,11+
M,0.41,0.335,0.105,0.3555,0.159,0.064,0.1345,10
F,0.585,0.455,0.12,0.926,0.378,0.1965,0.25,11+
F,0.685,0.54,0.21,1.5555,0.7285,0.365,0.444,11+
I,0.565,0.46,0.155,0.9595,0.4505,0.215,0.2505,9
F,0.43,0.35,0.1,0.397,0.1535,0.08,0.135,9
M,0.7,0.525,0.185,1.361,0.5005,0.292,0.4485,11+
I,0.575,0.45,0.145,0.8245,0.365,0.2055,0.239,10
M,0.33,0.245,0.095,0.163,0.0615,0.039,0.055,1-8
I,0.415,0.315,0.11,0.3285,0.157,0.059,0.09,1-8
M,0.585,0.455,0.15,1.115,0.481,0.2825,0.305,1-8
F,0.64,0.505,0.165,1.2235,0.48,0.263,0.406,11+
M,0.58,0.46,0.13,0.887,0.43,0.197,0.227,10
M,0.48,0.37,0.13,0.5305,0.2595,0.087,0.16,1-8
M,0.605,0.475,0.14,0.991,0.397,0.219,0.36,11+
I,0.595,0.43,0.16,1.0595,0.4255,0.2475,0.325,11+
I,0.24,0.175,0.055,0.0625,0.0205,0.011,0.02,1-8
I,0.425,0.325,0.105,0.3975,0.1725,0.0735,0.125,1-8
F,0.625,0.495,0.165,1.3075,0.6355,0.2715,0.364,11+
I,0.5,0.385,0.15,0.5755,0.2355,0.119,0.206,11+
F,0.685,0.545,0.23,1.842,0.929,0.367,0.4375,11+
I,0.4,0.31,0.1,0.3515,0.181,0.057,0.09,1-8
M,0.375,0.3,0.1,0.3435,0.1545,0.0565,0.09,1-8
F,0.63,0.495,0.2,1.172,0.4345,0.244,0.42,11+
F,0.465,0.35,0.115,0.496,0.237,0.0965,0.1325,1-8
M,0.52,0.42,0.175,0.828,0.321,0.204,0.25,9
I,0.44,0.335,0.11,0.411,0.181,0.0935,0.1345,1-8
F,0.6,0.5,0.18,1.29,0.6,0.2855,0.33,11+
M,0.27,0.195,0.08,0.117,0.048,0.0265,0.0305,1-8
M,0.605,0.49,0.18,1.1005,0.5125,0.223,0.375,10
F,0.445,0.355,0.16,0.4095,0.1145,0.0705,0.16,11+
M,0.695,0.55,0.175,1.5715,0.695,0.3675,0.471,11+
F,0.575,0.48,0.175,0.957,0.392,0.2365,0.295,11+
M,0.415,0.315,0.125,0.388,0.173,0.0705,0.12,11+
F,0.7,0.575,0.2,1.7635,0.697,0.399,0.4535,11+
M,0.63,0.49,0.19,1.1775,0.4345,0.2735,0.3805,11+
M,0.535,0.435,0.155,0.996,0.2815,0.26,0.315,11+
M,0.61,0.365,0.17,1.5245,0.5635,0.3365,0.425,11+
F,0.51,0.4,0.125,0.6675,0.2945,0.1395,0.185,9
I,0.315,0.25,0.085,0.2005,0.102,0.021,0.0505,1-8
I,0.575,0.45,0.135,0.78,0.3275,0.142,0.25,10
M,0.585,0.46,0.15,1.136,0.5415,0.2555,0.3085,11+
I,0.425,0.34,0.105,0.382,0.1575,0.0785,0.1,1-8
F,0.65,0.545,0.23,1.7445,0.6725,0.3265,0.4065,11+
F,0.49,0.37,0.115,0.5265,0.221,0.132,0.126,9
F,0.585,0.485,0.16,0.9455,0.41,0.2115,0.2365,9
I,0.465,0.37,0.115,0.445,0.195,0.0925,0.1265,1-8
F,0.505,0.38,0.18,0.692,0.293,0.165,0.155,1-8
I,0.43,0.34,0.1,0.428,0.1895,0.0765,0.111,1-8
I,0.33,0.26,0.085,0.1965,0.0925,0.041,0.055,1-8
M,0.645,0.525,0.16,1.2425,0.4945,0.2775,0.48,11+
I,0.455,0.335,0.135,0.7615,0.2735,0.1725,0.245,10
F,0.695,0.56,0.17,1.58,0.671,0.3835,0.535,11+
I,0.515,0.39,0.125,0.572,0.2435,0.1075,0.175,1-8
I,0.535,0.4,0.135,0.775,0.3985,0.208,0.175,9
M,0.61,0.475,0.155,1.115,0.4965,0.2745,0.3325,10
M,0.47,0.36,0.12,0.4775,0.196,0.1055,0.1085,1-8
M,0.655,0.515,0.2,1.528,0.54,0.2615,0.675,11+
F,0.67,0.545,0.16,1.4785,0.6615,0.328,0.43,11+
F,0.445,0.355,0.13,0.4195,0.1625,0.1055,0.145,11+
F,0.71,0.54,0.205,1.8185,0.625,0.2635,0.538,11+
I,0.48,0.39,0.12,0.6005,0.293,0.11,0.16,1-8
M,0.63,0.495,0.16,1.217,0.5695,0.231,0.3825,11+
I,0.325,0.24,0.075,0.1585,0.0715,0.0335,0.045,1-8
I,0.53,0.415,0.15,0.7675,0.282,0.1495,0.2765,11+
M,0.71,0.56,0.175,1.7265,0.7625,0.492,0.455,11+
I,0.625,0.465,0.17,1.057,0.543,0.242,0.3115,11+
I,0.44,0.325,0.09,0.3615,0.1575,0.0805,0.12,1-8
M,0.6,0.46,0.16,0.9595,0.445,0.196,0.295,9
M,0.565,0.39,0.12,0.7615,0.424,0.1205,0.17,10
F,0.585,0.455,0.165,0.976,0.3865,0.2495,0.2965,9
F,0.63,0.51,0.17,1.1885,0.4915,0.3365,0.33,11+
I,0.4,0.32,0.11,0.3105,0.134,0.0635,0.0955,1-8
I,0.49,0.365,0.13,0.4715,0.191,0.08,0.15,9
F,0.5,0.385,0.13,0.6625,0.323,0.1235,0.17,10
F,0.53,0.43,0.17,0.8155,0.3935,0.1365,0.245,11+
I,0.51,0.405,0.13,0.599,0.281,0.127,0.1695,11+
M,0.58,0.46,0.195,0.8265,0.3395,0.165,0.255,11+
M,0.55,0.46,0.18,1.0985,0.4125,0.2245,0.395,11+
M,0.54,0.415,0.13,0.7345,0.332,0.1975,0.19,9
I,0.555,0.425,0.14,0.742,0.348,0.1515,0.21,1-8
I,0.635,0.505,0.225,1.642,0.7275,0.397,0.395,11+
M,0.295,0.215,0.08,0.116,0.037,0.042,0.042,1-8
M,0.48,0.355,0.155,0.9225,0.3645,0.209,0.29,9
M,0.675,0.515,0.165,1.6375,0.675,0.347,0.456,11+
F,0.41,0.3,0.12,0.3055,0.0925,0.07,0.1135,11+
F,0.495,0.385,0.15,0.8415,0.26,0.1685,0.3,11+
F,0.645,0.52,0.21,1.5615,0.709,0.3505,0.444,10
M,0.585,0.475,0.165,1.409,0.586,0.254,0.3175,11+
F,0.605,0.45,0.155,1.136,0.5515,0.2405,0.29,9
I,0.47,0.345,0.18,0.4615,0.21,0.0745,0.13,1-8
F,0.605,0.48,0.155,1.222,0.5865,0.2195,0.308,9
F,0.645,0.51,0.155,1.2415,0.5715,0.3065,0.3305,11+
F,0.67,0.505,0.2,1.2695,0.468,0.322,0.39,11+
M,0.725,0.55,0.2,2.0495,1.0465,0.383,0.491,11+
F,0.41,0.325,0.105,0.361,0.125,0.0705,0.125,1-8
F,0.5,0.4,0.165,0.6445,0.158,0.128,0.23,11+
I,0.575,0.45,0.135,0.795,0.3525,0.157,0.235,9
F,0.69,0.54,0.185,1.5715,0.7035,0.365,0.4945,11+
M,0.595,0.45,0.15,0.871,0.407,0.1905,0.25,1-8
I,0.455,0.355,0.105,0.4585,0.194,0.0965,0.134,1-8
F,0.49,0.365,0.12,0.521,0.171,0.1395,0.175,11+
I,0.47,0.355,0.115,0.478,0.196,0.1045,0.16,9
M,0.6,0.465,0.165,1.1,0.391,0.247,0.37,11+
F,0.61,0.49,0.19,1.3475,0.6,0.2375,0.37,11+
F,0.505,0.39,0.16,0.568,0.2245,0.138,0.17,11+
I,0.43,0.335,0.1,0.34,0.1335,0.09,0.12,11+
M,0.2,0.14,0.05,0.046,0.0255,0.009,0.015,1-8
F,0.455,0.365,0.115,0.4305,0.1685,0.1005,0.115,1-8
M,0.63,0.495,0.175,1.2635,0.615,0.276,0.33,9
F,0.58,0.46,0.165,1.0335,0.54,0.166,0.2485,9
F,0.6,0.46,0.145,0.942,0.399,0.189,0.345,11+
I,0.33,0.205,0.08,0.1595,0.0595,0.032,0.055,1-8
I,0.5,0.395,0.13,0.633,0.325,0.145,0.16,10
F,0.64,0.525,0.19,1.5335,0.5755,0.3445,0.44,10
I,0.52,0.4,0.11,0.5925,0.229,0.1585,0.185,1-8
I,0.405,0.305,0.09,0.271,0.1105,0.051,0.0865,1-8
M,0.63,0.485,0.155,1.15,0.575,0.2595,0.281,1-8
F,0.49,0.4,0.115,0.569,0.256,0.1235,0.17,9
M,0.515,0.395,0.125,0.6565,0.262,0.1855,0.175,10
M,0.655,0.525,0.18,1.402,0.573,0.3205,0.405,11+
M,0.55,0.425,0.14,0.931,0.438,0.171,0.225,1-8
